bedrooms,community,drive,latitude,longitude,lotDepth,lotFront,parkingSpaces,price,room1,room4,room6,rooms,rooms1square,rooms2square,rooms3square,rooms4square,rooms5square,rooms6square,daysOnMarket,buildingTypeId
4,345,8,43.5964634,-79.7788485,120.0,32.0,13,769900.0,16,7,1,6.0,13.395600000000002,10.2175,8.052,8.1618,19.4768,11.0544,37,3
5,148,4,43.8959904,-79.22999200000002,104.99,23.79,10,839000.0,16,13,20,9.0,18.656,18.656,19.5597,11.5184,7.3953000000000015,25.596,37,3
5,295,9,44.245018,-79.46629920000002,130.02,46.49,15,798000.0,16,10,20,10.0,16.08,13.265999999999998,11.122,19.194000000000006,8.04,21.535,53,3
6,14,8,44.16133410000001,-79.85687309999999,85.96,34.12,10,619000.0,13,9,20,9.0,8.808399999999997,8.808399999999997,21.5696,12.8466,10.2175,17.549699999999998,37,3
5,4,9,43.6217489,-80.04325379999999,102.0,46.0,13,480000.0,16,18,2,10.0,21.276,13.9482,13.2076,15.372500000000002,14.0075,9.4423,42,3
5,64,8,43.8850885,-78.8994059,128.25,55.77,15,1049000.0,16,13,20,8.0,12.267,13.9944,24.3712,16.016000000000002,13.35,19.3644,56,3
7,592,9,43.76556400000001,-79.72305940000003,122.23,37.1,15,1149000.0,8,10,15,10.0,10.2175,12.679,12.679,26.040000000000006,11.177600000000002,15.7206,71,3
6,78,8,43.7036717,-79.76905359999998,100.0,31.85,13,699900.0,13,10,1,8.0,19.8,26.64,26.64,26.040000000000006,14.4,8.100000000000001,9,3
5,503,8,43.9355283,-80.06247990000001,124.0,71.0,18,999999.0,9,15,1,8.0,14.454,21.8624,27.877,10.98,22.1186,12.0085,64,3
5,332,8,43.709737,-79.74715090000002,95.0,30.0,13,519900.0,13,18,2,6.0,7.7608000000000015,8.6609,18.645,16.740000000000002,7.5329999999999995,6.803999999999999,25,3
6,53,8,43.743172,-79.2524493,130.0,40.0,15,749900.0,16,18,2,6.0,27.183,27.183,15.041999999999998,14.8808,13.5378,8.112,16,3
4,179,6,43.6857129,-79.2911978,85.0,15.85,1,699000.0,16,18,2,6.0,12.24,12.58,16.0,13.3,7.370000000000001,6.7574999999999985,30,3
5,527,8,43.7535018,-79.7449165,110.0,40.0,15,798900.0,16,13,20,8.0,19.9775,19.9775,12.7344,9.302499999999998,8.2225,17.8608,38,3
5,213,9,43.6513564,-79.93298979999999,100.0,60.0,13,879000.0,16,10,1,8.0,18.9911,11.655,15.579999999999998,17.702499999999993,20.104,14.705900000000002,65,3
4,226,5,43.7628665,-79.7199213,109.9,22.56,10,679000.0,16,13,20,8.0,20.7504,20.7504,12.6336,9.38,6.6856,17.634400000000007,43,3
6,615,8,43.7592448,-79.1801339,153.48,30.46,13,649900.0,16,18,2,7.0,12.9599,10.7578,12.5928,17.688000000000006,9.4416,11.6795,56,3
5,333,8,43.725223,-79.62879000000002,128.0,30.0,10,647900.0,16,18,2,6.0,18.849,18.849,7.48,11.433,9.5,6.93,42,3
5,73,8,44.104135,-79.5920354,110.0,27.0,10,625000.0,12,18,2,7.0,19.5054,8.4677,8.99,20.574,12.81,9.782,28,3
6,292,8,43.7259346,-79.2561865,109.0,35.0,13,658000.0,16,18,2,6.0,17.6,17.6,12.614999999999998,14.080000000000002,10.15,8.16,28,3
7,79,8,43.665468,-79.746495,105.78,31.23,10,719990.0,9,16,1,8.0,7.9248,14.144,21.4149,13.5725,13.5464,12.7368,35,3
5,527,5,43.7342041,-79.77101280000002,82.28,31.33,10,669000.0,16,7,1,7.0,18.91,18.91,8.525,7.5625,15.503999999999998,12.75,12,3
5,253,8,43.71913120000001,-79.7927337,110.01,30.56,10,559000.0,16,18,2,6.0,17.625,7.9212,13.9655,13.984000000000002,7.7741,8.4334,7,3
4,164,8,43.8914085,-78.82703479999998,136.9,50.02,15,499900.0,13,1,3,5.0,18.48,17.8155,12.1882,7.77,11.8844,13.44,34,3
5,411,9,43.9075576,-80.14013249999998,134.11,39.37,15,799999.0,13,18,2,7.0,21.659000000000002,25.6768,12.3165,19.8332,12.8466,13.6422,12,3
5,589,8,43.39333970000001,-79.78315119999998,109.91,22.5,10,659900.0,13,14,20,6.0,6.8952,16.820999999999998,17.7915,3.5263,6.5538,17.5508,16,3
7,331,9,43.880858,-78.957678,132.12,60.68,20,888800.0,12,18,2,6.0,24.528000000000002,17.2805,23.97,16.96,11.7412,9.6396,62,3
