province,city,address,longitude,latitude,price,buildingTypeId,tradeTypeId,listingDate,daysOnMarket,bedrooms
Ontario,Toronto,57 Hocken Ave,-79.4207708,43.68112,5995.0,1.0,2,20/4/2018,34,3.0
Ontario,Richmond Hill,3 Wilfred Crt,-79.416779,43.859989,3100.0,1.0,2,3/4/2018,11,4.0
Ontario,Toronto,187 Clinton St,-79.4151711,43.658986600000006,3190.0,1.0,2,24/4/2018,31,3.0
Ontario,Woodbridge,170 Shelbourne Dr,-79.56058540000001,43.8577154,3100.0,1.0,2,20/4/2018,11,4.0
Quebec,Montréal,4920 Av. Prince-Of-Wales,-73.64079,45.467181,1350.0,2.0,2,25/4/2018,84,2.0
Ontario,East York,110 Marlow Ave,-79.3393717,43.68742,2500.0,1.0,2,13/4/2018,49,3.0
Ontario,East York,110 Marlow Ave,-79.3393717,43.68742,2500.0,1.0,2,13/4/2018,49,3.0
Ontario,Etobicoke,42 Ruby Lang Lane,-79.5083369,43.620180700000006,3400.0,1.0,2,15/4/2018,7,4.0
Ontario,Barrie,15 Delaney Cres,-79.7316212,44.3979392,1750.0,1.0,2,25/4/2018,31,3.0
Ontario,Oakville,531 Blenheim Cres,-79.652291,43.485758000000004,3800.0,1.0,2,5/4/2018,11,5.0
Ontario,Toronto,77 Highland Ave,-79.3765397,43.6817115,10499.0,1.0,2,13/4/2018,5,5.0
Ontario,Richmond Hill,88 Nottingham Dr,-79.44876590000001,43.9042526,2190.0,1.0,2,23/4/2018,70,3.0
Quebec,Les Cèdres,66 Av. Chamberry,-73.994416,45.329192,1600.0,1.0,2,6/4/2018,56,4.0
Ontario,Beamsville,5121 Connor Drive,-79.48354300000001,43.156843,1800.0,1.0,2,9/4/2018,16,3.0
Ontario,Maple,86 Maverick Cres,-79.49049120000001,43.846329100000005,3395.0,1.0,2,5/4/2018,70,6.0
Ontario,Burlington,245 Hammersmith Crt,-79.7363304,43.372076799999995,2100.0,1.0,2,7/4/2018,46,4.0
Ontario,North York,42 Hines Dr,-79.3481178,43.801195299999996,2500.0,1.0,2,10/4/2018,11,4.0
Ontario,Etobicoke,69 Newcastle St,-79.4978661,43.617773299999996,2800.0,1.0,2,23/4/2018,38,3.0
Ontario,Niagara Falls,4985 Morrison Street,-79.07647800000001,43.104591,1300.0,1.0,2,30/4/2018,29,3.0
Ontario,Richmond Hill,17 Law Cres,-79.455214,43.853565,2500.0,1.0,2,3/4/2018,7,4.0
Ontario,Richmond Hill,23 Platinum Ave,-79.46535659999999,43.9067817,2850.0,1.0,2,25/4/2018,64,3.0
Ontario,Whitby,29 Glenmore Dr,-78.92918399999999,43.871387,1800.0,1.0,2,16/4/2018,46,2.0
Ontario,Whitby,29 Glenmore Dr,-78.92918399999999,43.871387,1800.0,1.0,2,16/4/2018,46,5.0
Ontario,North York,31 Prestwick Cres,-79.3652852,43.800506799999994,2400.0,1.0,2,18/4/2018,9,4.0
Ontario,Woodbridge,3400 Teston Rd,-79.55454940000001,43.8670276,2900.0,1.0,2,7/4/2018,84,5.0
Ontario,Newmarket,360 Dixon Blvd,-79.475066,44.043164000000004,1950.0,1.0,2,30/4/2018,36,4.0
Ontario,Aurora,344 Old Bloomington Rd,-79.44767390000001,43.9675818,3350.0,1.0,2,12/4/2018,22,2.0
Ontario,North York,26 William Poole Way,-79.4071948,43.7646717,3450.0,1.0,2,16/4/2018,53,3.0
Ontario,Oakville,273 Gatestone Avenue,-79.64529300000001,43.476515,4800.0,1.0,2,29/4/2018,10,6.0
Quebec,Saint-Hubert,3510 Rue Pacific,-73.357187,45.458872,3250.0,1.0,2,2/4/2018,76,3.0
Ontario,Ottawa,1386 Lexington Street,-75.712259,45.369903,4000.0,1.0,2,14/4/2018,95,3.0
Ontario,Milton,920 Rigo Crossing,-79.86318,43.4909636,2300.0,1.0,2,17/4/2018,43,4.0
