index,longitude,latitude,province,price,tradeTypeId,buildingTypeId,bedrooms,bathroomTotal,daysOnMarket,ownerShipType,predictions
15615,-79.4579672,43.683649,Ontario,779000.0,1,3,4,2,40,Freehold,26.70919418334961
15616,-79.43573609999999,43.862336,Ontario,2300.0,2,1,2,1,38,Condominium/Strata,24.63747787475586
15617,-78.9035993814468,43.95849100244951,Ontario,498000.0,1,6,4,3,118,Condominium/Strata,38.26481628417969
15618,-79.2534173,43.74202070000001,Ontario,599000.0,1,3,3,2,7,Freehold,32.13944625854492
15619,-75.631653,45.017876,Ontario,485900.0,1,3,3,2,170,Freehold,53.799137115478516
15620,-79.3826747,43.659329,Ontario,3200.0,2,1,2,2,12,Condominium/Strata,19.335704803466797
15621,-79.0615625,43.869864,Ontario,815000.0,1,3,4,4,22,Freehold,36.602943420410156
15622,-79.47031159999997,43.6949121,Ontario,1375000.0,1,3,3,4,67,Freehold,32.772377014160156
15623,-79.800226,44.0123818,Ontario,1800.0,2,3,3,3,14,Freehold,32.35445785522461
15624,-79.4154543,43.7782639,Ontario,2150.0,2,1,2,1,18,Condominium/Strata,18.885236740112305
15625,-79.369765,43.8730278,Ontario,2380.0,2,6,4,4,13,Freehold,24.205202102661133
15626,-79.4457244,43.6430421,Ontario,1789000.0,1,3,4,3,7,Freehold,38.12336730957031
15627,-77.735116,44.044073,Ontario,949900.0,1,3,4,5,127,Freehold,53.345088958740234
15628,-80.595668,43.474178,Ontario,999500.0,1,3,4,3,56,Freehold,52.5771484375
15629,-75.536752,45.478075,Ontario,234900.0,1,6,3,3,18,Condominium/Strata,37.596248626708984
15630,-79.4128023,43.77740120000001,Ontario,418000.0,1,1,1,1,37,Condominium/Strata,29.472152709960938
15631,-82.703074,42.294699,Ontario,339900.0,1,19,3,2,19,Freehold,35.44811248779297
15632,-76.9264142148193,44.3955213140181,Ontario,317700.0,1,3,3,1,97,Freehold,40.36930465698242
15633,-78.86938420000001,43.9148723,Ontario,639900.0,1,3,4,2,25,Freehold,35.70388412475586
15634,-79.48258249999998,43.949566,Ontario,829000.0,1,6,5,4,43,Freehold,42.34864044189453
15635,-81.15843000000002,42.771443,Ontario,299900.0,1,3,3,3,1,Freehold,25.745149612426758
15636,-80.54863,43.42259,Ontario,545000.0,1,3,4,2,9,Freehold,29.693174362182617
15637,-81.255792,42.94937,Ontario,175000.0,1,6,3,2,55,Condominium,27.621559143066406
15638,-76.473395,44.3525404,Ontario,649000.0,1,3,5,3,43,Freehold,46.03722381591797
15639,-82.189526,42.382939,Ontario,439900.0,1,3,3,4,15,Freehold,48.500919342041016
15640,-79.4099902,43.7656853,Ontario,499000.0,1,1,2,1,29,Condominium/Strata,27.81056785583496
