province,city,address,longitude,latitude,price,buildingTypeId,tradeTypeId,listingDate,daysOnMarket,bedrooms
Quebec,Beaconsfield,6-75 Av. Elm,-73.84134471,45.43729851,2000.0,1.0,2,31/5/2018,7,4.0
Ontario,Ottawa,839 Iroquois Road,-75.766354,45.37034,1200.0,2.0,2,13/5/2018,11,1.0
Ontario,Oakville,176 Culp Tr,-79.736774,43.47845,3200.0,1.0,2,9/5/2018,25,4.0
Ontario,North York,5 Stubbs Dr,-79.36598149999999,43.759945200000004,4980.0,1.0,2,20/4/2018,57,5.0
Ontario,Richmond Hill,5 Berringer St,-79.409938,43.845060499999995,2400.0,1.0,2,1/5/2018,15,3.0
Ontario,Milton,1102 Houston Dr,-79.85038809999999,43.518075200000006,2100.0,1.0,2,4/4/2018,24,3.0
Ontario,Woodbridge,110 Andes Cres,-79.5613824,43.84172720000001,1400.0,1.0,2,19/4/2018,13,1.0
Ontario,Oakville,2451 Valleyridge Dr,-79.77295179999999,43.429849299999994,2700.0,1.0,2,14/5/2018,22,6.0
Quebec,Saint-Bruno,1562 Rue St-Jacques,-73.33932996,45.52783237,1475.0,2.0,2,2/4/2018,82,2.0
Quebec,Montréal,4689 Av. Bonavista,-73.618326,45.48494752,2750.0,2.0,2,2/4/2018,30,3.0
Ontario,Pickering,Main F-1356 Tatra Dr,-79.083416,43.8283476,1685.0,1.0,2,25/4/2018,87,3.0
Ontario,Pickering,Main F-1356 Tatra Dr,-79.083416,43.8283476,1685.0,1.0,2,25/4/2018,87,4.0
Ontario,Toronto,57 Hocken Ave,-79.4207708,43.68112,5995.0,1.0,2,20/4/2018,34,3.0
Ontario,Newmarket,796 Botany Hill Cres,-79.447637,44.069456,1670.0,1.0,2,1/6/2018,8,3.0
Quebec,Montréal,2212 Rue Du Souvenir,-73.58052246,45.48804353,2000.0,2.0,2,13/4/2018,48,2.0
Ontario,Mississauga,7194 Deanlee Crt,-79.7437,43.5941,675.0,1.0,2,3/4/2018,8,1.0
Ontario,North York,41 Brixham Terr,-79.4956,43.7283,2500.0,1.0,2,16/5/2018,9,4.0
Ontario,Thornhill,10 Huckleberry Lane,-79.38899,43.805955,2980.0,1.0,2,29/4/2018,4,5.0
Ontario,Newmarket,16764 Bayview Ave,-79.452523,44.0424662,1850.0,1.0,2,2/5/2018,32,3.0
Ontario,Georgetown,14 Byron St,-79.9131721,43.648845200000004,2000.0,1.0,2,3/4/2018,32,3.0
Ontario,East York,Lower-97 Oak Park Avenue,-79.308774,43.690683,1400.0,1.0,2,6/4/2018,49,2.0
Quebec,Beaconsfield,10 Boul. St-Charles,-73.84595492,45.43073848,5500.0,1.0,2,3/5/2018,80,4.0
Ontario,Mississauga,5044 Sunray Dr,-79.66999940000001,43.594035299999994,500.0,1.0,2,6/4/2018,20,1.0
Quebec,Brossard,1983 Rue Rossignol,-73.49166143,45.44539184,1100.0,2.0,2,24/4/2018,60,2.0
Ontario,Richmond Hill,41 Mansard Dr,-79.46915209999999,43.9204718,2500.0,1.0,2,24/5/2018,4,5.0
Quebec,Montréal,2140 Av. De Clifton,-73.61500311,45.46724247,1250.0,2.0,2,20/4/2018,63,2.0
Ontario,Oakville,Baseme-390 Callaghan Cres,-79.73115849999999,43.4663482,1550.0,1.0,2,7/5/2018,15,2.0
Quebec,Montréal,221-225 Rue De La Montagne,-73.560333,45.491994,1750.0,2.0,2,10/5/2018,11,2.0
Ontario,Toronto,64 Morningside Ave,-79.4774319,43.6452741,4000.0,1.0,2,11/5/2018,7,4.0
Quebec,Lasalle,525 Crois. De La Louisiane,-73.61755996,45.41721718,850.0,2.0,2,12/5/2018,39,2.0
Ontario,Orléans,699 Mathieu Way,-75.48210999999999,45.476715999999996,2100.0,1.0,2,12/5/2018,8,3.0
Ontario,Maple,90 Falkirk Cres,-79.5294418,43.856529200000004,2400.0,1.0,2,10/5/2018,7,3.0
Ontario,Ottawa,612 Bank Street Unit14,-75.690898,45.407051,1850.0,2.0,2,16/5/2018,58,2.0
Quebec,Montréal,5891 Ch. De La Côte-St-Antoine,-73.619886,45.468947,3500.0,1.0,2,17/5/2018,18,4.0
Ontario,Richmond Hill,29 Versailles Crt,-79.43278570000001,43.879399299999996,2400.0,1.0,2,17/5/2018,64,4.0
Ontario,St Catharines,1204 Lakeshore Road W,-79.30711600000001,43.186206,1599.0,1.0,2,18/5/2018,26,2.0
Ontario,Toronto,1080 Bay St,-79.48570251464841,43.648399353027294,2500.0,2.0,2,23/5/2018,6,3.0
Ontario,Toronto,1080 Bay St,-79.48570251464841,43.648399353027294,2500.0,2.0,2,23/5/2018,6,1.0
Ontario,Barrie,310-90 Dean Avenue,-79.64334699999999,44.352385999999996,1525.0,2.0,2,26/5/2018,4,2.0
Ontario,Mississauga,Lower-2545 Cobbinshaw Circ,-79.7416454,43.5828787,1200.0,2.0,2,26/5/2018,8,2.0
Ontario,Oakville,2017 Hixon St,-79.7039429,43.407994200000005,2100.0,1.0,2,29/5/2018,9,4.0
Ontario,Toronto,9 Maclennan Ave,-79.3771975,43.6841646,3200.0,1.0,2,25/5/2018,59,8.0
