longitude,latitude,price,buildingTypeId,style,airConditioning,washrooms,basement1,cableTVIncluded,cacIncluded,familyRoom,fireplaceStove,heatSource,garageType,heatType,kitchens,parkingSpaces,parkingIncluded,room1,room1Length,room1Width,room2,room2Length,room2Width,room3,room3Length,room3Width,room4,room4Length,room4Width,room5,room5Length,room5Width,rooms,streetDirection,waterIncluded,totalParkingSpaces,daysOnMarket,bedrooms
-78.93967420000001,43.8732869,599800.0,3,2,0,3.0,0,0,0,0,1,1,0,2,1.0,3.0,0,17,4.71,4.05,9,4.71,4.05,13,3.26,2.73,17,4.18,3.92,0,4.06,3.03,7.0,3,0,4.0,42,6.0
-79.522888,43.8653314,825000.0,3,2,0,4.0,3,0,0,1,0,1,1,2,1.0,4.0,0,17,6.1,3.67,9,6.1,3.67,13,3.05,2.74,6,3.05,3.2,11,5.2,3.9,8.0,0,0,5.0,50,4.0
-79.3010222,43.8922393,998000.0,3,2,0,3.0,3,0,0,1,1,1,0,2,1.0,4.0,0,17,6.09,3.47,9,6.09,3.47,13,3.47,2.47,6,3.47,2.62,11,5.51,3.84,7.0,0,0,6.0,8,3.0
-79.4801843,43.6242853,2450.0,1,4,0,1.0,6,1,2,0,0,1,7,2,1.0,1.0,2,17,4.3,4.29,9,4.3,4.29,13,4.3,2.17,17,3.32,3.14,8,3.32,1.86,5.0,4,2,1.0,42,2.0
-79.0198567,44.1511708,599000.0,3,10,0,2.0,2,0,0,1,1,1,3,2,1.0,5.0,0,14,4.35,3.38,16,4.68,5.83,8,3.52,3.31,17,3.59,3.88,0,3.4,3.65,3.0,0,0,7.0,55,3.0
-79.5431108,44.3629381,499900.0,3,9,0,2.0,2,0,0,0,1,1,1,2,1.0,5.0,0,9,5.97,3.44,12,5.97,3.56,6,3.56,3.2,12,3.5,3.2,21,7.33,6.48,8.0,0,0,7.0,14,6.0
-79.4664257,43.9021668,2300.0,3,2,0,3.0,4,1,1,1,0,1,1,2,1.0,2.0,2,17,5.02,4.67,9,5.02,4.67,13,3.35,2.6,6,2.8,3.03,21,5.45,4.5,7.0,0,1,3.0,42,3.0
-79.4178849,43.7337333,2738000.0,3,2,0,5.0,2,0,0,1,1,1,1,2,1.0,3.0,0,17,9.4,4.25,9,9.4,4.25,13,4.87,3.7,6,3.45,2.7,11,4.99,3.25,9.0,0,0,5.0,62,5.0
-79.2152296,43.89048010000001,973000.0,3,2,0,4.0,4,0,0,1,1,1,0,2,1.0,1.0,0,17,6.17,3.81,9,6.17,3.81,9,4.88,3.35,12,4.11,2.67,6,4.11,2.43,9.0,0,0,2.0,29,4.0
-79.2023087,43.7553101,1138000.0,3,9,1,1.0,4,0,0,0,0,1,0,6,1.0,2.0,0,17,4.4,3.4,9,3.0,3.0,13,4.4,2.4,5,3.3,3.0,5,2.8,2.9,5.0,2,0,3.0,77,1.0
-79.39678990000002,43.6878495,669900.0,1,4,0,2.0,6,1,2,0,0,1,7,2,1.0,1.0,2,17,5.13,2.95,9,5.13,2.95,13,2.5,3.0,17,3.86,3.05,0,2.8,2.75,5.0,4,2,1.0,70,2.0
-78.916249,43.9089965,919000.0,3,2,0,4.0,3,0,0,1,1,1,0,2,1.0,2.0,0,17,3.35,3.35,9,3.99,3.04,9,5.6,3.68,12,4.45,2.44,6,3.84,3.05,10.0,0,0,4.0,31,5.0
-78.74024250000002,44.3680266,424900.0,6,9,0,2.0,2,1,1,0,1,1,0,2,1.0,2.0,2,14,5.94,3.2,16,9.81,4.05,18,4.41,3.74,13,2.86,1.67,29,9.78,3.87,9.0,2,1,3.0,55,2.0
-79.7206468,43.6284239,729900.0,3,2,0,3.0,3,0,0,0,1,1,0,2,1.0,3.0,0,14,3.0,2.55,6,2.9,2.63,16,4.15,3.96,17,3.82,3.56,0,4.07,2.97,6.0,0,0,3.0,26,3.0
-78.6892687,43.93349570000001,479900.0,3,10,0,2.0,4,0,0,0,0,1,0,2,1.0,2.0,0,14,3.38,3.05,16,4.93,3.3,8,3.18,3.3,17,4.39,3.28,0,3.99,3.3,7.0,0,0,3.0,11,4.0
-79.7380678,44.4481734,1400000.0,3,10,0,3.0,2,0,0,1,1,1,0,2,1.0,18.0,0,14,5.91,4.6,9,5.38,3.68,7,6.63,6.63,17,5.69,4.06,0,4.39,2.97,10.0,0,0,20.0,59,4.0
-78.8534547,43.8651389,369900.0,3,2,0,2.0,3,0,0,0,1,1,4,2,1.0,2.0,0,17,5.39,3.6,13,2.68,3.45,6,3.64,3.4,17,4.81,3.08,0,3.73,2.64,6.0,0,0,2.0,13,3.0
-79.30595090000001,43.6689099,859000.0,1,4,0,2.0,4,1,1,0,1,0,7,3,1.0,1.0,2,17,4.2,3.9,9,3.35,3.5,13,3.5,3.35,17,3.5,2.9,0,3.5,2.9,6.0,0,2,1.0,70,2.0
-78.78826590000001,43.9143042,329900.0,6,9,0,1.0,6,1,1,1,1,0,4,2,1.0,1.0,2,14,2.19,3.28,10,3.58,6.91,8,3.58,6.91,17,3.44,3.54,0,2.51,3.24,4.0,0,2,1.0,20,2.0
-79.3530955,43.69425310000001,899000.0,3,9,3,2.0,3,0,0,1,1,1,3,5,1.0,1.0,0,17,5.16,3.23,9,5.95,3.05,13,4.96,3.04,9,5.57,3.61,5,3.01,2.91,6.0,0,0,2.0,26,4.0
-79.7535518,43.3656971,856000.0,3,16,0,2.0,3,0,0,1,1,1,1,2,1.0,4.0,0,14,2.74,4.9,16,3.25,5.23,8,2.69,2.87,17,4.06,2.87,0,2.72,2.9,9.0,0,0,5.0,19,3.0
