province,city,address,longitude,latitude,price,buildingTypeId,tradeTypeId,listingDate,daysOnMarket,bedrooms
Ontario,Windsor,595 Maple,-83.087124,42.231935,249900.0,1.0,1,1/6/2018,5,4.0
Ontario,Scarborough,2618-135 Village Green Sq,-79.2807394266129,43.777341279337904,399000.0,1.0,1,12/6/2018,13,3.0
Ontario,St Agatha,1807 Notre Dame Drive,-80.62698,43.433852,439900.0,1.0,1,19/6/2018,12,3.0
New Brunswick,Petit-Rocher-Sud,1203 Route 134,-65.63250500000001,47.61148,415000.0,1.0,1,14/6/2018,29,3.0
Quebec,Blue Sea,88 Mtée Des Pins,-76.093453,46.160604,189900.0,2.0,1,14/6/2018,21,2.0
Quebec,Saint-Philippe,530 Rue Marthe,-73.49216934,45.36518795,263900.0,1.0,1,4/6/2018,11,3.0
Ontario,Innisfil,2225 Merrett St,-79.53747779999998,44.3224009,350000.0,2.0,1,12/6/2018,37,1.0
Ontario,Brampton,117-25 Via Rosedale,-79.7767402,43.7443576,359900.0,2.0,1,9/6/2018,11,2.0
Ontario,Windsor,6041 North Woodmont,-83.06890899999998,42.245879,219900.0,1.0,1,19/6/2018,12,3.0
Ontario,Hamilton,19 8th Conc Road E,-79.98804100000002,43.366716,624900.0,1.0,1,26/6/2018,23,3.0
Quebec,Gatineau,131 Rue De L'Épée,-75.70325507,45.50090783,279888.0,1.0,1,13/6/2018,1,4.0
Ontario,North York,122-36 Venetian Cres,-79.5141687,43.75383460000001,399000.0,1.0,1,5/6/2018,30,3.0
Manitoba,Winnipeg,438 Queenston St,-97.187095,49.865294,389900.0,1.0,1,21/6/2018,9,1.0
Ontario,North York,12 Arthur Griffith Dr,-79.5098647,43.74518870000001,699900.0,1.0,1,7/6/2018,8,3.0
Ontario,Georgetown,36 Harding Street,-79.91126899999998,43.652876,599000.0,2.0,1,1/6/2018,1,2.0
Quebec,Montréal,4309-5150 Rue Buchan,-73.65096566,45.49800423,405000.0,1.0,1,2/6/2018,42,5.0
Ontario,Scarborough,3 Orleans Dr,-79.1606022,43.7950232,749000.0,1.0,1,3/6/2018,7,4.0
Ontario,Oshawa,1195 Wecker Dr,-78.84890329999998,43.86641270000001,459900.0,2.0,1,6/6/2018,13,4.0
Alberta,Calgary,65 Armstrong Cr Se,-114.054368,50.970634,439000.0,1.0,1,26/6/2018,23,3.0
Ontario,Espanola,395 Queensway Avenue,-81.76809399999998,46.250129,399000.0,1.0,1,22/6/2018,27,4.0
Ontario,Toronto,29 Cloverdale Rd,-79.4615926,43.6746447,939000.0,1.0,1,14/6/2018,20,3.0
Alberta,Edmonton,5517 Crabapple Loop Sw,-113.4783347,53.40838220000001,389000.0,1.0,1,15/6/2018,35,3.0
Alberta,Edmonton,5517 Crabapple Loop Sw,-113.4783347,53.40838220000001,389000.0,1.0,1,15/6/2018,35,3.0
Ontario,Etobicoke,236 Renforth Dr,-79.5685838,43.6360206,924900.0,2.0,1,23/6/2018,12,2.0
Alberta,Edmonton,9759 87 Av Nw,-113.482575815344,53.5225826214534,485000.0,1.0,1,19/6/2018,11,3.0
