province,longitude,latitude,price,buildingTypeId,bedrooms,daysOnMarket
British Columbia,-122.8015611,49.2857501,545000.0,2.0,4.0,13
Ontario,-82.353775,42.964342,319900.0,1.0,4.0,17
Ontario,-82.601223,42.170001,419000.0,1.0,2.0,12
Ontario,-79.271314,42.979319,309900.0,1.0,3.0,7
Ontario,-79.6301585,43.57084310000001,549000.0,2.0,1.0,12
British Columbia,-122.968106,49.3162038,539900.0,2.0,2.0,13
British Columbia,-123.989915,49.188069,319000.0,2.0,2.0,18
Ontario,-79.3766716,43.6766477,2275000.0,2.0,3.0,6
Ontario,-76.4493437,44.258655,229900.0,1.0,3.0,20
British Columbia,-123.532112,48.440213,569000.0,2.0,2.0,31
Prince Edward Island,-63.1025,46.2757,354900.0,1.0,4.0,21
Manitoba,-97.298127,49.877275,359900.0,1.0,3.0,11
Alberta,-114.067683,51.076038,675000.0,2.0,2.0,14
British Columbia,-121.9580269,49.170096,258920.0,1.0,5.0,13
Alberta,-113.667848,53.6553167,1049000.0,1.0,4.0,2
Ontario,-81.429714,43.738624,299000.0,2.0,2.0,14
British Columbia,-123.08168899999998,49.3170659,1274800.0,1.0,3.0,3
British Columbia,-125.2124,49.950228,525000.0,1.0,3.0,19
Manitoba,-97.022407,49.898524,336900.0,1.0,5.0,25
Ontario,-79.75751817226408,44.3941699023353,949999.0,1.0,3.0,31
British Columbia,-124.994813,49.681705,299000.0,2.0,1.0,27
British Columbia,-123.1696445,49.1546778,3088000.0,2.0,2.0,12
British Columbia,-123.07326100000002,49.2626205,559000.0,1.0,4.0,37
Ontario,-79.745987,43.709174,559900.0,2.0,2.0,5
Manitoba,-97.158103,49.839469,204900.0,1.0,3.0,13
Ontario,-79.818682,43.697077,599900.0,1.0,3.0,33
Ontario,-79.970244,45.267008,559900.0,1.0,4.0,23
Ontario,-75.686814,45.286254,559900.0,1.0,3.0,24
Ontario,-79.3570553,43.6606055,899900.0,1.0,6.0,9
British Columbia,-120.423691,50.709633,549900.0,1.0,3.0,18
Ontario,-81.08407700000002,42.880949,375000.0,1.0,3.0,4
Ontario,-75.73708,45.279758,399900.0,1.0,4.0,3
Alberta,-110.034543,53.257187,369900.0,2.0,1.0,22
British Columbia,-123.319808,48.425587,324900.0,2.0,1.0,7
Ontario,-80.5362467,43.476282,275000.0,1.0,2.0,6
Alberta,-113.264109,51.714288,185000.0,1.0,4.0,48
Ontario,-79.8035177,43.189611,474990.0,1.0,6.0,9
Ontario,-75.703059,45.284743,674900.0,1.0,3.0,12
Ontario,-76.1712302767212,44.3409016144409,260000.0,1.0,6.0,9
British Columbia,-122.4580297,49.0537883,859900.0,1.0,3.0,21
Ontario,-79.6839093,43.4390829,899900.0,2.0,3.0,17
Ontario,-75.526433,45.485024,425000.0,1.0,10.0,6
Ontario,-79.4642202,43.687759,1799000.0,2.0,2.0,14
Alberta,-112.847553,49.698027,264900.0,1.0,4.0,26
Ontario,-77.373159,44.189432,374900.0,1.0,3.0,16
Ontario,-80.299627,43.389729,299900.0,2.0,1.0,28
Alberta,-113.533584,53.5765249,264900.0,1.0,2.0,2
Alberta,-118.77561812,55.14504701,349900.0,1.0,4.0,10
Ontario,-79.692427,43.487429,1219000.0,1.0,3.0,13
British Columbia,-122.7818784,49.1538994,649000.0,2.0,3.0,20
Ontario,-81.3061177,48.5016695,105950.0,1.0,4.0,19
Ontario,-82.88616999999998,42.303201,765000.0,2.0,3.0,17
British Columbia,-124.974717,49.71671,299999.0,1.0,2.0,20
British Columbia,-117.71847,49.095897,194000.0,1.0,3.0,6
Ontario,-77.8412536,44.84331020000001,549900.0,2.0,2.0,6
Ontario,-75.676567,45.348956,218000.0,1.0,4.0,30
Ontario,-78.8075354,44.2095011,699000.0,2.0,1.0,36
British Columbia,-121.817135005809,49.0806736749652,549000.0,1.0,2.0,13
Alberta,-113.44463799999998,53.5645791,315000.0,1.0,4.0,7
Alberta,-114.083918,50.970211,549000.0,1.0,5.0,23
Nova Scotia,-63.6513672,44.7416552,339900.0,1.0,3.0,17
British Columbia,-124.112182,48.848761,824900.0,1.0,3.0,11
Ontario,-79.3044886,43.68593900000001,750000.0,1.0,4.0,9
Ontario,-81.17174399999998,42.993333,284900.0,1.0,3.0,19
Ontario,-79.327232,45.599329,449900.0,1.0,3.0,35
Ontario,-78.338955,44.288372,299000.0,1.0,2.0,32
Ontario,-75.71010799999998,45.348467,282900.0,1.0,2.0,17
Ontario,-79.455302,43.174092,184900.0,1.0,5.0,11
Saskatchewan,-104.515302,50.421345,659900.0,1.0,3.0,29
Nova Scotia,-64.9000171671854,44.23341909738279,179900.0,1.0,3.0,23
Quebec,-73.495747,45.674284,259800.0,2.0,1.0,17
British Columbia,-123.160734,49.1729761,440000.0,1.0,3.0,28
Ontario,-76.412391,44.2522475,409900.0,1.0,4.0,19
Ontario,-82.927755,42.324566,114900.0,2.0,2.0,8
British Columbia,-123.34942,48.422554,1250000.0,1.0,3.0,5
British Columbia,-122.6668849,49.1323624,549900.0,1.0,3.0,16
Ontario,-81.70097700000002,43.556071,299000.0,1.0,3.0,11
Ontario,-81.70097700000002,43.556071,299000.0,1.0,4.0,11
Ontario,-80.033434,44.724025,1295000.0,1.0,3.0,21
Ontario,-82.66681990000002,46.3751424,35500.0,1.0,2.0,15
Ontario,-79.8265608,43.3876359,419900.0,1.0,4.0,16
Ontario,-79.81485179999999,43.6695454,1085000.0,1.0,4.0,25
Alberta,-114.14028,51.655999,215000.0,1.0,3.0,8
Ontario,-82.382202,42.988432,234900.0,1.0,5.0,3
Ontario,-79.801048,43.0788933,719900.0,2.0,1.0,26
British Columbia,-123.07363159999998,49.3127891,350000.0,2.0,5.0,8
Alberta,-114.239644,52.61725,599900.0,1.0,2.0,24
Quebec,-73.64913100000003,45.518577,1050000.0,1.0,5.0,22
British Columbia,-122.855196,49.031095,2888888.0,1.0,4.0,39
British Columbia,-123.121828,49.161172,1146000.0,1.0,4.0,21
Alberta,-114.111376,51.01137,569900.0,2.0,2.0,16
British Columbia,-123.1204946,49.2762465,1080000.0,2.0,1.0,35
Ontario,-79.823195,43.320031,899900.0,1.0,3.0,37
Ontario,-78.6894103,43.929766,474900.0,2.0,2.0,34
Newfoundland & Labrador,-52.69051700000001,47.58562,409500.0,1.0,3.0,35
Ontario,-79.847758,43.23891,479900.0,2.0,2.0,13
Ontario,-80.295412,43.127933,499900.0,1.0,4.0,27
Alberta,-112.914148,49.668635,365000.0,1.0,3.0,33
Ontario,-83.028319,42.320132,159900.0,1.0,4.0,25
Ontario,-80.748336,43.1114122,554900.0,1.0,4.0,36
Alberta,-114.041243,50.879552,669900.0,1.0,3.0,21
Ontario,-79.60395009999998,43.5393754,869000.0,1.0,3.0,8
Ontario,-79.072301,43.840144,439900.0,1.0,5.0,13
Saskatchewan,-106.618702,52.09321,319900.0,1.0,3.0,15
Ontario,-80.518116,43.441448,449900.0,1.0,3.0,4
Ontario,-83.004035,42.31459,124900.0,1.0,3.0,7
Ontario,-79.811667,43.125432,489900.0,1.0,4.0,10
Ontario,-79.4038094,43.71015429999999,1198000.0,1.0,6.0,8
Ontario,-79.7432516,43.7585713,939000.0,1.0,3.0,12
Quebec,-76.03078829,45.63525771,184900.0,1.0,3.0,42
Ontario,-79.4755739,43.6299034,559000.0,1.0,4.0,16
Manitoba,-97.124292,49.9314,239900.0,1.0,1.0,24
Ontario,-76.67930229999997,44.4909036,250000.0,1.0,3.0,24
Alberta,-113.792731,52.390984,314900.0,1.0,4.0,6
British Columbia,-122.6569254,49.1742306,1099900.0,1.0,3.0,21
Ontario,-79.77764,43.433238,554900.0,1.0,4.0,8
Ontario,-79.8252753,43.7243641,699800.0,2.0,2.0,33
British Columbia,-122.8493874,49.20103889999999,409900.0,1.0,2.0,20
Ontario,-81.221508,43.003716,189900.0,1.0,3.0,4
Ontario,-79.872999,43.641948,874900.0,1.0,4.0,21
Ontario,-80.107907,42.890679,359900.0,2.0,3.0,25
Ontario,-86.9515349,49.727343,155000.0,1.0,5.0,36
Manitoba,-96.824778,50.189264,569900.0,1.0,3.0,29
Ontario,-79.75958299999998,43.374064,679747.0,1.0,4.0,5
Ontario,-80.046816,43.636977,599900.0,1.0,5.0,12
Quebec,-73.64833613,45.4843409,1890000.0,2.0,1.0,33
Quebec,-75.78457997,45.71330962,124900.0,2.0,2.0,17
British Columbia,-123.52397,49.408137,369000.0,1.0,5.0,32
Ontario,-80.743425,42.883414,550000.0,1.0,5.0,20
Ontario,-79.49188199999998,44.040785,969900.0,1.0,4.0,26
Ontario,-79.800616,43.122633,659000.0,1.0,3.0,17
British Columbia,-121.029865572487,51.854465104245,359900.0,2.0,1.0,6
Ontario,-75.70536,45.415821,275000.0,2.0,2.0,22
Manitoba,-97.321271,49.88904,174900.0,1.0,5.0,26
British Columbia,-122.9769301,49.279551,588000.0,2.0,4.0,7
Ontario,-83.009342,42.258649,339000.0,2.0,1.0,6
Ontario,-79.3958712,43.8416373,389000.0,1.0,4.0,21
Ontario,-75.659823,45.387018,489900.0,1.0,5.0,7
Nova Scotia,-64.487522,45.089074,159900.0,1.0,3.0,21
Alberta,-113.395435,53.47588100000001,287000.0,1.0,3.0,26
New Brunswick,-64.654187,45.855451,197900.0,2.0,4.0,19
Quebec,-74.1560017,45.13518892,239000.0,2.0,1.0,18
Ontario,-79.3730864,43.6556869,399000.0,2.0,2.0,6
Ontario,-79.3730864,43.6556869,399000.0,1.0,3.0,6
Alberta,-113.978066,51.027618,199000.0,1.0,6.0,14
Ontario,-79.74373359999998,43.5481527,968000.0,2.0,2.0,16
Ontario,-78.70649209999998,43.9066828,329900.0,1.0,2.0,15
Nova Scotia,-64.4319447619019,45.1510027400038,70000.0,1.0,3.0,22
British Columbia,-122.79183372618999,53.9971844814519,284900.0,1.0,5.0,13
British Columbia,-122.754299,49.291653,1488000.0,1.0,2.0,6
Quebec,-73.580384,45.566297,309000.0,1.0,4.0,41
Ontario,-79.03471,44.3514,469900.0,1.0,3.0,42
British Columbia,-123.574099,48.889214,775000.0,1.0,3.0,21
British Columbia,-122.8210338,49.0583326,1749000.0,1.0,2.0,34
Manitoba,-97.108532,49.888733,309900.0,1.0,4.0,13
Ontario,-79.3508631,43.6713319,799000.0,2.0,0.0,7
Ontario,-79.43052159999998,43.64288679999999,449000.0,2.0,3.0,2
Ontario,-79.6776297,44.4112176,254900.0,2.0,4.0,22
Alberta,-113.811521,52.355849,709900.0,2.0,4.0,22
Ontario,-94.5620438411392,49.7547318218095,199900.0,2.0,1.0,12
British Columbia,-122.689725,49.133825,999000.0,2.0,2.0,9
Alberta,-113.5470234,53.59892270000001,339900.0,1.0,3.0,12
British Columbia,-122.77301609999998,49.287902,900000.0,2.0,1.0,12
British Columbia,-123.1252236,49.2768552,699000.0,1.0,4.0,15
British Columbia,-122.8166995,49.1258405,988000.0,1.0,3.0,9
Ontario,-80.27037299999998,43.536529,399000.0,2.0,3.0,8
Ontario,-79.4209967,43.6546527,2695000.0,2.0,4.0,21
Ontario,-79.4209967,43.6546527,2695000.0,1.0,2.0,21
Ontario,-79.49816729999998,43.61337879999999,749000.0,1.0,4.0,14
Ontario,-80.21426,44.488389,624900.0,2.0,3.0,46
Ontario,-79.4281018,43.6428951,459900.0,2.0,1.0,11
Ontario,-79.4281018,43.6428951,459900.0,2.0,2.0,11
Ontario,-78.6867359,43.9248019,599900.0,1.0,4.0,41
Alberta,-114.168556,51.049177,644000.0,2.0,2.0,12
Ontario,-79.4257314,43.642564,769000.0,2.0,4.0,20
Ontario,-79.4257314,43.642564,769000.0,2.0,2.0,20
Ontario,-79.81263299999998,43.35748,559900.0,1.0,3.0,14
Ontario,-78.40778,44.396631,249900.0,1.0,4.0,8
British Columbia,-123.2114835,49.2604515,3398000.0,2.0,4.0,19
Ontario,-79.453582,42.873639,689900.0,1.0,4.0,6
Ontario,-80.575007,43.598077,689900.0,1.0,2.0,12
Ontario,-81.274785,43.019729,299900.0,1.0,3.0,8
British Columbia,-123.68501299999998,48.801335,559000.0,1.0,3.0,11
Quebec,-73.49450892,45.69271731,299000.0,1.0,3.0,6
British Columbia,-119.265862,50.705071,499900.0,1.0,4.0,41
Ontario,-77.977933,44.059435,549000.0,1.0,4.0,8
Alberta,-114.116915,51.166546,425000.0,2.0,2.0,43
Ontario,-79.2374037,43.79183560000001,339000.0,1.0,4.0,10
Manitoba,-97.095497,49.928504,214900.0,1.0,3.0,7
Ontario,-79.39443399999998,44.600881,349900.0,1.0,2.0,17
Newfoundland & Labrador,-68.33519,44.288411,119900.0,1.0,4.0,16
Ontario,-80.472716,42.60590300000001,250000.0,1.0,5.0,26
Alberta,-113.6647993,53.6434999,739900.0,1.0,4.0,26
Alberta,-114.05541399999998,51.165688,395000.0,1.0,3.0,32
Quebec,-74.39096419,46.14311158,179900.0,2.0,1.0,2
Ontario,-80.49663699999998,43.452667,245000.0,1.0,5.0,5
Ontario,-79.2979292,43.6908687,1150000.0,1.0,5.0,5
British Columbia,-123.1190341,49.2602331,749900.0,1.0,3.0,31
Alberta,-114.221667,51.142931,489900.0,1.0,3.0,19
British Columbia,-122.849049,49.128181,749999.0,2.0,1.0,21
British Columbia,-123.54321000000002,48.452074,474800.0,2.0,2.0,14
Manitoba,-97.213933,49.888766,259900.0,1.0,4.0,12
Ontario,-79.812862,43.356485,644500.0,1.0,5.0,26
Alberta,-113.62863652149599,53.6604558567702,589900.0,1.0,3.0,20
Quebec,-77.80591120000003,48.093692,294500.0,1.0,4.0,23
Ontario,-80.4234945774078,42.791666951692704,899900.0,1.0,2.0,43
New Brunswick,-65.822914,45.528173,174900.0,1.0,5.0,40
Alberta,-112.74728,52.871549,639900.0,1.0,3.0,6
Ontario,-83.10575,42.099062,164202.0,1.0,4.0,27
Ontario,-79.406421,43.7174301,2149000.0,1.0,4.0,2
Quebec,-74.03910598,45.39917934,369000.0,1.0,1.0,21
Ontario,-78.508948,44.45307800000001,214900.0,1.0,3.0,10
Saskatchewan,-104.625054,50.483828,334900.0,1.0,4.0,13
Ontario,-79.2510618,43.7644371,699000.0,1.0,6.0,9
Ontario,-80.18136899999998,43.502079,819900.0,2.0,1.0,21
Ontario,-79.4019457,43.6862445,1750000.0,2.0,4.0,36
Ontario,-79.4019457,43.6862445,1750000.0,1.0,5.0,36
Ontario,-79.376994,43.64304600000001,599900.0,1.0,5.0,24
Ontario,-79.889466,43.2217788,399900.0,1.0,3.0,42
Ontario,-79.91656400000002,43.233148,399900.0,1.0,3.0,43
Ontario,-74.743765,45.029414,99900.0,2.0,2.0,8
British Columbia,-122.9068529,49.204811,685000.0,1.0,3.0,47
Ontario,-76.4715777,44.3875101,289000.0,1.0,3.0,12
Ontario,-80.49474000000002,43.383715,475000.0,2.0,2.0,2
British Columbia,-123.2028,49.349474,2275000.0,1.0,3.0,14
Ontario,-79.31550899999998,45.028609,319900.0,2.0,1.0,26
Ontario,-75.689214,45.418038,324900.0,2.0,2.0,25
British Columbia,-123.0021212,49.23068920000001,738000.0,2.0,3.0,19
Ontario,-76.5543748,44.26632070000001,429900.0,1.0,3.0,20
British Columbia,-122.77248188954901,53.914873574647,275000.0,2.0,2.0,14
Ontario,-79.734892,43.365377,609000.0,2.0,1.0,14
British Columbia,-122.7844922,49.2934643,500000.0,1.0,3.0,19
Ontario,-80.56065,43.438554,409900.0,2.0,2.0,10
Ontario,-79.4159028,43.641579,619900.0,1.0,4.0,28
British Columbia,-125.230969,49.954139,539700.0,1.0,3.0,27
Ontario,-75.741399,45.274117,179900.0,1.0,3.0,9
British Columbia,-123.106323,49.197586,898000.0,1.0,3.0,3
Nova Scotia,-64.7705948,45.3324196,25750.0,2.0,1.0,50
Ontario,-80.483455,43.455159,206900.0,2.0,1.0,4
British Columbia,-123.13376370000002,49.1903353,479000.0,2.0,1.0,13
British Columbia,-123.363559,48.426247,397000.0,1.0,4.0,12
Ontario,-79.2744272,43.9015545,899000.0,2.0,3.0,18
British Columbia,-122.8098958,49.1853255,519000.0,2.0,2.0,32
Ontario,-79.39073359999998,43.6738894,950000.0,2.0,2.0,15
Ontario,-79.39073359999998,43.6738894,950000.0,1.0,4.0,15
Ontario,-79.0212205,43.8262872,575000.0,1.0,2.0,10
