longitude,latitude,price,daysOnMarket,buildingTypeId_1.0,buildingTypeId_2.0,bedrooms_1.0,bedrooms_2.0,bedrooms_3.0,bedrooms_4.0,bedrooms_5.0
-97.099787,49.841404,12.428820118415677,2.1972245773362196,1,0,0,0,1,0,0
-75.693881,45.392297,13.615840583835682,2.302585092994046,1,0,0,0,1,0,0
-63.5022326846557,44.68610570000001,12.127575825689417,2.6390573296152584,1,0,0,0,1,0,0
-78.6822762,43.931821,13.199141068399515,3.1354942159291497,1,0,0,0,1,0,0
-75.859353,45.287924,13.199141068399515,2.0794415416798357,1,0,0,0,0,1,0
-79.3196983,43.683401399999994,13.74283340785016,2.4849066497880004,1,0,0,0,1,0,0
-123.41989199999999,48.448968,11.507922973347437,3.4011973816621555,1,0,1,0,0,0,0
-80.427509,43.373721999999994,13.81541155306345,3.295836866004329,1,0,0,0,0,0,1
-79.3637223,43.6525725,12.971310228604022,3.091042453358316,0,1,1,0,0,0,0
-79.3637223,43.6525725,12.971310228604022,3.091042453358316,0,1,0,0,0,1,0
-80.543454,43.886114,13.217493541006709,1.0986122886681098,1,0,0,0,0,1,0
-79.48075899999998,43.7257789,12.425212191503038,2.6390573296152584,0,1,0,1,0,0,0
-79.613175,43.5804314,12.914110901635024,2.302585092994046,0,1,0,1,0,0,0
-79.6682611,43.533750299999994,13.864206431974242,2.302585092994046,1,0,0,0,0,1,0
-79.2658163,43.7524146,13.014780393893403,3.332204510175204,0,1,0,1,0,0,0
-65.616417,47.652058000000004,12.175618592671356,3.5553480614894135,1,0,0,1,0,0,0
-79.49049120000002,43.71888679999999,13.697853639354802,3.367295829986474,1,0,0,0,0,1,0
-80.503203,43.403768,12.952525968339533,1.791759469228055,0,1,0,1,0,0,0
-113.4328278,53.528641799999995,13.217493541006709,2.833213344056216,1,0,0,0,0,1,0
-79.5628682,44.3120391,12.989748136413281,2.302585092994046,1,0,0,0,1,0,0
-79.81095,43.127518,13.171136398569677,3.1780538303479458,1,0,0,0,1,0,0
-79.44278309999999,43.6644199,13.814410953620952,2.1972245773362196,1,0,0,0,0,1,0
-79.225686,42.9899445,13.269059483669357,3.5263605246161616,1,0,0,0,0,1,0
-79.70820440000001,43.4788278,13.64103930673094,2.8903717578961645,1,0,0,0,1,0,0
-79.7161931,43.4817293,12.873648139727594,2.70805020110221,0,1,1,0,0,0,0
-79.41283100000003,43.772657099999996,13.493928313146206,1.791759469228055,0,1,0,1,0,0,0
-114.21680800000001,51.039047,12.971310228604022,2.5649493574615367,1,0,0,1,0,0,0
-81.1537,42.759921999999996,13.049794835104816,3.091042453358316,1,0,0,0,0,0,1
-79.36272729999997,43.6598236,13.12216535779974,1.9459101490553132,0,1,1,0,0,0,0
-79.4833203,43.62106370000001,12.994304980578146,3.258096538021482,0,1,0,1,0,0,0
-83.003582,42.243114,12.644008170618003,1.9459101490553132,0,1,0,1,0,0,0
-106.56458700000002,52.155798,13.11211302154816,3.1354942159291497,0,1,1,0,0,0,0
-79.57992209999998,43.747741299999994,12.300932724054114,3.091042453358316,1,0,0,0,0,1,0
-114.121222,51.164227000000004,13.170964952363363,3.091042453358316,1,0,0,0,0,1,0
-79.5675044,44.419087,13.710040036256004,3.1780538303479458,1,0,0,0,0,1,0
-112.741992,51.468768,12.991801286323186,3.258096538021482,1,0,0,0,1,0,0
-79.80350200000002,44.012451299999995,13.42246945133505,3.1780538303479458,1,0,0,0,1,0,0
-113.37384479999999,53.6138556,12.427218202181711,3.2188758248682006,0,1,0,1,0,0,0
-78.93823859999998,43.8597261,13.112315061750808,3.4965075614664802,1,0,0,0,0,1,0
-79.855818,44.31289,13.303018546545275,3.1354942159291497,1,0,0,0,1,0,0
-79.705472,43.604796,13.45869417545215,2.1972245773362196,1,0,0,0,1,0,0
-79.7450196,43.468095399999996,13.428230593259636,2.3978952727983707,1,0,0,0,0,1,0
-79.051926,43.871704,13.384575322579519,2.6390573296152584,0,1,0,0,0,1,0
-118.8111982,55.1889605,12.736409677721657,3.295836866004329,1,0,0,0,1,0,0
-106.75380600000001,52.134343,12.873648139727594,3.5553480614894135,1,0,0,0,1,0,0
-75.731289,45.281306,12.834417270098413,2.772588722239781,1,0,0,1,0,0,0
-76.365113,45.446144,11.848690308590857,2.1972245773362196,0,1,1,0,0,0,0
-79.24918199999998,43.141717,12.323860125621126,3.2188758248682006,0,1,0,1,0,0,0
-79.4523692,43.7152182,12.886643575525625,1.0986122886681098,1,0,0,0,1,0,0
-81.275193,42.960491999999995,12.524166311833152,1.9459101490553132,1,0,0,0,1,0,0
-79.8178019,43.244262799999994,12.765405536311112,2.302585092994046,1,0,0,0,0,1,0
-73.840618,45.610123,12.323415584358154,2.1972245773362196,0,1,1,0,0,0,0
-83.087124,42.231935,12.428820118415677,1.791759469228055,1,0,0,0,0,1,0
-79.2807394266129,43.777341279337904,12.896719202134523,2.6390573296152584,1,0,0,0,1,0,0
-80.62698,43.433852,12.994304980578146,2.5649493574615367,1,0,0,0,1,0,0
-65.63250500000001,47.61148,12.936036208848487,3.4011973816621555,1,0,0,0,1,0,0
-76.093453,46.160604,12.15425816271595,3.091042453358316,0,1,0,1,0,0,0
-73.49216934,45.36518795,12.48332931179837,2.4849066497880004,1,0,0,0,1,0,0
-79.53747779999998,44.3224009,12.765691290604371,3.6375861597263857,0,1,1,0,0,0,0
-79.7767402,43.7443576,12.79358427261286,2.4849066497880004,0,1,0,1,0,0,0
-83.06890899999998,42.245878999999995,12.300932724054114,2.5649493574615367,1,0,0,0,1,0,0
